Date,Longitude,Latitude,Depth,Rms,Type,Magnitude,Location,EventID
"2023-03-13T23:51:21",36.416,38.042,7.11,0.31,"ML",2.1,"Göksun (Kahramanmaraş)",562527
"2023-03-13T23:45:58",36.489,37.872,6.82,0.32,"ML",2.4,"Onikişubat (Kahramanmaraş)",562526
"2023-03-13T23:44:16",36.223,37.85,7.03,0.66,"ML",1.8,"Saimbeyli (Adana)",562523
"2023-03-13T23:43:21",36.591,37.878,7,0.25,"ML",1.7,"Onikişubat (Kahramanmaraş)",562524
"2023-03-13T23:35:39",37.064,37.305,7,0.13,"ML",1,"Pazarcık (Kahramanmaraş)",562522
"2023-03-13T23:32:30",36.588,37.094,4.68,0.53,"ML",1.3,"İslahiye (Gaziantep)",562525
"2023-03-13T23:21:53",26.76,39.25,7,0.45,"ML",1.7,"Ayvalık (Balıkesir)",562521
"2023-03-13T23:20:42",37.783,37.763,10.64,0.62,"ML",1.3,"Besni (Adıyaman)",562520
"2023-03-13T23:19:14",36.368,38.006,7.01,0.7,"ML",1.9,"Göksun (Kahramanmaraş)",562519
"2023-03-13T23:13:32",37.135,37.42,7,0.52,"ML",0.9,"Dulkadiroğlu (Kahramanmaraş)",562517
"2023-03-13T23:02:00",30.456,40.678,7,0.46,"ML",1.7,"Erenler (Sakarya)",562518
"2023-03-13T23:01:53",35.974,36.258,6.83,0.55,"ML",2.1,"Samandağ (Hatay)",562516
"2023-03-13T22:58:03",35.321,38.761,7.04,0.58,"ML",1.7,"Kocasinan (Kayseri)",562513
"2023-03-13T22:54:23",38.309,38.308,6.61,0.48,"ML",2.5,"Yeşilyurt (Malatya)",562511
"2023-03-13T22:51:53",36.927,37.184,7,0.29,"ML",1.3,"Nurdağı (Gaziantep)",562507
"2023-03-13T22:46:52",36.264,36.825,7,0.68,"ML",2.2,"Dörtyol (Hatay)",562505
"2023-03-13T22:37:51",38.476,38.126,7.1,0.31,"ML",1.8,"Sincik (Adıyaman)",562515
"2023-03-13T22:34:47",37.856,38.202,7,0.25,"ML",3,"Doğanşehir (Malatya)",562512
"2023-03-13T22:33:08",38.485,38.082,6.77,0.23,"ML",2,"Sincik (Adıyaman)",562514
"2023-03-13T22:23:08",36.537,36.99,6.93,0.32,"ML",1.9,"İslahiye (Gaziantep)",562510
"2023-03-13T22:20:34",38.436,38.078,6.01,0.32,"ML",1.6,"Çelikhan (Adıyaman)",562509
"2023-03-13T22:18:44",39.167,38.461,7.06,0.25,"ML",1.9,"Sivrice (Elazığ)",562506
"2023-03-13T22:17:24",39.167,38.459,6.96,0.18,"ML",1.5,"Sivrice (Elazığ)",562508
"2023-03-13T22:10:25",37.392,38.159,7.05,0.97,"ML",1.7,"Elbistan (Kahramanmaraş)",562504
"2023-03-13T22:04:26",36.169,37.833,7,0.46,"ML",1.9,"Saimbeyli (Adana)",562503
"2023-03-13T22:03:26",36.268,37.843,7.16,0.18,"ML",1.4,"Saimbeyli (Adana)",562502
"2023-03-13T21:57:44",38.705,38.097,7.19,0.65,"ML",2.7,"Pütürge (Malatya)",562501
"2023-03-13T21:56:16",36.577,37.825,7.09,0.3,"ML",2.8,"Onikişubat (Kahramanmaraş)",562500
"2023-03-13T21:46:39",37.876,37.805,6.45,0.15,"ML",2.1,"Tut (Adıyaman)",562499
"2023-03-13T21:40:02",34.267,41.121,7,0.33,"ML",1.3,"Kargı (Çorum)",562491
"2023-03-13T21:39:52",36.228,37.894,8.54,0.52,"ML",1.8,"Saimbeyli (Adana)",562490
"2023-03-13T21:37:35",38.197,37.998,6.99,0.75,"ML",2.5,"Çelikhan (Adıyaman)",562488
"2023-03-13T21:35:49",36.576,38.07,7,0.64,"ML",2.8,"Göksun (Kahramanmaraş)",562487
"2023-03-13T21:34:40",37.515,38.013,7,0.43,"ML",1.7,"Nurhak (Kahramanmaraş)",562489
"2023-03-13T21:26:27",31.736,40.805,7,0.47,"ML",1.5,"Merkez (Bolu)",562486
